mother,mutter
father,vater
son,sohn
daughter,tochter
grandson,enkel
granddaughter,enkelin
stepmother,stiefmutter
son-in-law,schwiegersohn
younger sister,kleine schwester
father's brother,oheim
nephew,neffe
stepson,stiefsohn
stepdaughter,stieftochter
mother-in-law (of a woman),schwiegermutter
younger brother,kleiner bruder
niece,nichte
sister,schwester
brother,bruder
daughter-in-law,schwiegertochter
father-in-law,schwiegervater
mother's brother,oheim
father's sister,tante
grandfather,Großvater
grandmother,Großmutter
older brother,älterer bruder
younger brother,jüngerer bruder
younger sister,jüngerer schwester
older sister,älterer schwester
stepfather,stiefvater
