mother,dei
father,dad
son,raklo
daughter,rakli
grandmother,daki dei
grandfather,[papo] ~ [papu]
grandson,[nepoto]
granddaughter,[nepoata]
father's brother,kak
mother-in-law (of a man),[soakra]
mother-in-law (of a woman),[soakra]
older brother,pral baro
niece,[nepoata]
daughter-in-law (of a woman),bori
daughter-in-law (of a man),bori
father-in-law (of a man),[sokro]
father-in-law (of a woman),[sokro]
mother's sister,bibi
mother's brother,kak
father's sister,bibi
father's brother,kak
