madre,0.00010085177439398095
padre,0.00014670225744655563
figlio,9.966263660417748e-05
figlia,3.615389290978247e-05
nonna,6.1651026982149565e-06
nonno,6.707562824989365e-06
nipotino,4.2135720907968536e-07
nipotina,2.97856438167054e-07
matrigna,1.3631546116455845e-06
genero,3.473862535148402e-06
sorella maggiore,3.89902575893e-07
sorella minore,2.217848066989035e-07
fratello del padre,5.977297076424438e-08
nipote,1.618091145284679e-05
figliastro,4.420250008210012e-07
figliastra,3.4039575193459254e-07
suocera,1.7628244951243645e-06
fratello maggiore,1.0186157541560818e-06
fratello minore,6.43128332938141e-07
nipote,1.618091145284679e-05
sorella,2.282583097386662e-05
fratello,5.1423404354436346e-05
nuora,2.1944294628840047e-06
suocero,2.343741181652999e-06
sorella della madre,4.336504261110668e-08
fratello della madre,5.956931445748129e-08
sorella del padre,4.728884872745851e-08
fratello del padre,5.977297076424438e-08
