stepmother,9.224027875403051e-07
older sister,1.4261827092984411e-06
younger sister,3.5963683270303106e-06
son,0.00011819510412531472
younger brother,3.7956735155601324e-06
mother's brother,6.673713104384386e-08
father's brother,5.37301316019535e-06
father-in-law,2.1075962879908453e-06
nephew,7.32355234942849e-06
stepson,2.4849193873277637e-07
stepdaughter,1.5988783705408025e-07
older brother,2.3582674993069176e-06
father,0.00017349115503500828
grandmother,6.072392727276956e-06
niece,8.127785574440114e-06
sister-in-law,2.161124415881112e-06
mother-in-law,2.0175967308376654e-06
daughter-in-law,9.283868054267166e-07
granddaughter,1.223139528041569e-06
mother's sister,3.563030553009839e-08
brother-in-law,2.9184683548862045e-07
sister,2.0563162511524934e-05
daughter,5.288824821991944e-05
son-in-law,3.0133288651514575e-06
grandson,5.2245125062139884e-06
brother,5.685207005432976e-05
grandfather,8.458312502305584e-06
father's sister,4.642509301044159e-06
mother,0.0001213348571147602
stepfather,4.549970922131251e-07
